YEAR DAY H0 IMFFF BzEEE BzMMM Densi Speed Press	Kp SSN Dsttt
2015   1  0   6.1   1.8   1.1   2.8  568.  1.81 23 104   -18
2015   1  1   4.8   0.6   0.2   2.8  585.  1.83 23 104   -18
2015   1  2   4.3  -0.3  -0.8   2.5  579.  1.60 23 104   -20
2015   1  3   4.0   0.8   0.4   2.7  560.  1.69 10 104   -20
2015   1  4   2.5   0.0  -0.1   2.8  554.  1.74 10 104   -19
2015   1  5   2.7   0.1  -0.0   2.7  566.  1.76 10 104   -20
2015   1  6   2.8  -0.2  -0.2   2.9  560.  1.87 10 104   -19
2015   1  7   2.9  -0.6  -0.6   2.9  556.  1.85 10 104   -16
2015   1  8   3.1  -1.4  -1.3   2.6  531.  1.50 10 104   -15
2015   1  9   3.2  -0.7  -0.5   2.7  518.  1.48 10 104   -13
2015   1 10   2.1   0.4   0.4   2.5  502.  1.28 10 104   -11
2015   1 11   4.2  -0.4  -0.4   2.1  480.  0.99 10 104    -9
2015   1 12   4.2  -0.4  -0.4   1.7  481.  0.80 13 104    -4
2015   1 13   2.7   0.3   0.3   3.6  462.  1.56 13 104     0
2015   1 14   2.9  -0.0  -0.0   4.3  464.  1.90 13 104     2
2015   1 15   4.0  -0.6  -0.6   3.3  454.  1.34 13 104     1
2015   1 16   4.4  -0.3  -0.3   3.5  455.  1.43 13 104    -2
2015   1 17   4.7  -0.6  -0.7   3.5  451.  1.40 13 104    -3
2015   1 18   4.7  -1.0  -1.2   4.1  446.  1.60 17 104    -4
2015   1 19   3.3  -0.6  -1.0   5.0  440.  2.00 17 104    -8
2015   1 20   4.6   0.2  -0.4   5.5  433.  2.12 17 104   -12
2015   1 21   3.8  -2.3  -2.7   5.3  436.  2.17 23 104   -13
2015   1 22   4.0  -3.0  -3.3   5.3  442.  2.22 23 104   -12
2015   1 23   4.2  -2.8  -3.4   5.3  439.  2.16 23 104   -19
2015   2  0   4.0  -1.8  -2.2   4.9  433.  1.93 30 122   -26
2015   2  1   3.3  -1.5  -1.7   4.9  432.  1.91 30 122   -26
2015   2  2   4.2  -1.9  -2.5   4.3  433.  1.66 30 122   -22
2015   2  3   3.9  -1.8  -2.4   5.2  433.  2.02 10 122   -13
2015   2  4   4.0  -1.4  -1.9   5.5  430.  2.15 10 122   -11
2015   2  5   4.0  -1.0  -1.2   5.6  414.  2.03 10 122   -11
2015   2  6   4.0  -1.1  -1.2   5.5  415.  1.96 13 122   -11
2015   2  7   6.3  -2.0  -1.9   7.6  431.  2.92 13 122    -7
2015   2  8   6.7   1.7   1.7   9.6  435.  3.80 13 122    -8
2015   2  9   7.0   2.1   2.0  10.3  456.  4.21 17 122    -3
2015   2 10   7.4   0.1   0.5  11.5  465.  5.27 17 122     2
2015   2 11   8.2   0.2   0.6  12.5  445.  4.75 17 122     1
2015   2 12   7.7  -2.9  -2.6  13.6  433.  4.99 23 122     1
2015   2 13   6.8  -5.1  -5.0  14.6  432.  5.53 23 122    -3
2015   2 14   6.9   1.4   1.4  15.8  417.  5.51 23 122   -12
2015   2 15   9.0   3.4   3.4  14.2  420.  4.70 23 122    -9
2015   2 16  10.3   0.7   0.5  10.4  425.  3.53 23 122    -5
2015   2 17   9.7  -4.5  -5.0  10.9  412.  3.46 23 122    -8
2015   2 18   9.3  -6.4  -7.0  10.2  396.  2.95 30 122   -22
2015   2 19   8.6  -6.9  -7.5  10.9  386.  2.92 30 122   -36
2015   2 20   7.5  -6.2  -6.6  14.4  382.  3.78 30 122   -49
2015   2 21   6.4  -3.7  -4.2  18.5  383.  4.86 40 122   -49
2015   2 22   7.7  -2.4  -2.6  23.2  381.  5.98 40 122   -43
2015   2 23   9.5  -5.6  -3.8  28.3  378.  7.13 40 122   -36
2015   3  0  10.1  -6.7  -4.6  33.0  379.  8.36 47 102   -36
2015   3  1  11.2  -3.0  -2.1  20.3  382.  5.42 47 102   -42
2015   3  2   8.5   4.1   4.6  13.2  429.  4.85 47 102   -34
2015   3  3  10.3   4.8   3.4   9.7  432.  3.70 30 102   -27
2015   3  4   9.1   1.8   1.7  19.3  431.  7.26 30 102   -16
2015   3  5  10.0  -4.4  -3.8  14.3  438.  5.59 30 102   -25
2015   3  6   8.4   2.5   2.7  11.6  450.  4.88 23 102   -36
2015   3  7   9.7   5.6   5.6   9.2  454.  3.84 23 102   -34
2015   3  8   9.0   3.1   3.3   7.1  476.  3.61 23 102   -30
2015   3  9   9.9   2.1   2.6   6.5  468.  3.08 30 102   -31
2015   3 10  10.8  -3.4  -2.8   6.8  480.  3.34 30 102   -31
2015   3 11  10.0   3.6   4.3   5.9  448.  2.52 30 102   -33
2015   3 12   8.9  -1.7  -1.2   6.5  441.  2.52 27 102   -26
2015   3 13   9.9   0.5   0.8   6.1  443.  2.31 27 102   -25
2015   3 14   8.7   1.8   2.0   5.0  456.  2.01 27 102   -20
2015   3 15   8.7   2.1   2.1   3.8  459.  1.56 10 102   -18
2015   3 16   8.8   2.1   1.9   3.6  459.  1.53 10 102   -20
2015   3 17   8.9   2.3   1.8   3.7  455.  1.52 10 102   -20
2015   3 18   9.1   2.5   1.8   3.9  459.  1.59 13 102   -22
2015   3 19   9.1   3.6   2.9   4.4  462.  1.84 13 102   -21
2015   3 20   8.7   4.0   3.3   4.5  459.  1.86 13 102   -20
2015   3 21   8.1   2.8   1.9   4.0  463.  1.69  0 102   -19
2015   3 22   7.8   1.6   0.7   4.1  456.  1.65  0 102   -19
2015   3 23   7.4   1.1   0.2   4.1  450.  1.56  0 102   -20
2015   4  0   7.3   0.6  -0.4   4.3  448.  1.63  7 105   -21
2015   4  1   7.1   0.5  -0.3   4.4  440.  1.60  7 105   -22
2015   4  2   6.9   0.4  -0.2   3.6  435.  1.32  7 105   -20
2015   4  3   6.5   0.2  -0.2   4.7  430.  1.69 10 105   -16
2015   4  4   6.0  -0.8  -1.1   5.2  425.  1.80 10 105   -16
2015   4  5   5.8  -2.6  -2.6   6.0  433.  2.05 10 105   -19
2015   4  6   5.7  -3.0  -2.8   7.2  428.  2.43 20 105   -26
2015   4  7   6.7  -4.1  -4.0   6.6  391.  1.92 20 105   -33
2015   4  8   6.4  -2.8  -2.9   8.2  397.  2.46 20 105   -35
2015   4  9   7.6  -2.0  -2.3   7.0  406.  2.21 33 105   -34
2015   4 10   8.4  -4.7  -5.1   8.5  400.  2.59 33 105   -29
2015   4 11   9.0  -6.7  -7.1  10.0  401.  3.10 33 105   -36
2015   4 12   8.4  -7.2  -7.3  11.7  409.  3.92 37 105   -47
2015   4 13   9.2  -6.1  -6.4   9.7  416.  3.64 37 105   -59
2015   4 14  10.2  -8.8  -8.9   6.9  401.  2.63 37 105   -63
2015   4 15   9.2  -8.4  -8.4   7.3  400.  2.68 50 105   -62
2015   4 16   8.4  -7.6  -7.5   6.8  397.  2.57 50 105   -68
2015   4 17   7.8  -6.5  -6.2   7.1  391.  2.52 50 105   -57
2015   4 18   7.9  -6.7  -6.4   6.0  388.  2.08 33 105   -62
2015   4 19   7.1  -6.5  -6.3   9.0  401.  3.29 33 105   -65
2015   4 20   9.3  -6.9  -6.5  11.6  410.  4.22 33 105   -68
2015   4 21   9.2  -4.4  -3.9  11.5  395.  4.20 40 105   -78
2015   4 22   9.0  -3.3  -3.4  12.1  388.  4.39 40 105   -67
2015   4 23  10.7  -8.1  -6.2  12.2  421.  4.74 40 105   -57
2015   5  0   9.3  -0.7  -1.6  10.5  398.  3.66 53  88   -67
2015   5  1   9.0  -0.7   0.4  10.6  453.  3.97 53  88   -51
2015   5  2  10.4   1.9   3.9   8.3  471.  3.38 53  88   -42
2015   5  3   9.8   4.8   4.7   6.7  477.  2.96 30  88   -38
2015   5  4  10.7  -3.1  -4.6   5.4  471.  2.42 30  88   -41
2015   5  5   9.4  -0.6  -0.5   5.9  468.  2.80 30  88   -51
2015   5  6  10.4   3.1   2.9   4.9  499.  2.69 23  88   -55
2015   5  7  11.8   1.7   1.9   4.9  513.  2.94 23  88   -48
2015   5  8   9.3   0.9   0.9   4.9  485.  2.55 23  88   -47
2015   5  9   9.7   4.2   4.2   5.1  488.  2.73 17  88   -42
2015   5 10   9.2   4.2   4.1   5.1  515.  2.80 17  88   -39
2015   5 11   8.5   2.9   2.9   5.1  481.  2.42 17  88   -37
2015   5 12   8.7  -1.4  -1.3   4.5  487.  2.10 20  88   -37
2015   5 13   8.6   0.9   1.0   4.8  507.  2.38 20  88   -39
2015   5 14   8.6   1.6   1.7   4.6  527.  2.48 20  88   -33
2015   5 15   8.2   4.9   4.9   4.2  518.  2.21 17  88   -31
2015   5 16   8.0   0.8   0.8   3.6  493.  1.69 17  88   -28
2015   5 17   8.0  -0.6  -0.8   3.5  494.  1.62 17  88   -29
2015   5 18   7.9   1.4   0.6   3.7  516.  1.90 23  88   -31
2015   5 19   7.7  -4.1  -4.7   3.6  516.  1.86 23  88   -35
2015   5 20   7.8  -2.6  -3.9   3.6  522.  1.87 23  88   -40
2015   5 21   7.7  -2.1  -3.7   3.5  530.  1.88 30  88   -46
2015   5 22   7.3  -1.7  -3.3   3.7  521.  1.91 30  88   -43
2015   5 23   7.0  -1.4  -2.4   3.4  496.  1.58 30  88   -42
2015   6  0   6.8   0.7   0.1   3.2  484.  1.42 20  89   -44
2015   6  1   6.9   2.8   1.6   2.8  487.  1.29 20  89   -40
2015   6  2   7.5   1.9   0.7   2.9  458.  1.17 20  89   -38
2015   6  3   7.8   1.5   0.3   3.1  455.  1.22 30  89   -35
2015   6  4   9.7  -0.7  -1.8   4.3  460.  1.84 30  89   -32
2015   6  5  10.1  -0.8  -1.8   5.9  476.  2.66 30  89   -37
2015   6  6   9.6   0.5  -0.1   5.7  493.  2.72 33  89   -39
2015   6  7  10.3  -2.1  -2.3   5.2  496.  2.40 33  89   -37
2015   6  8  10.3  -6.8  -6.8   5.3  519.  2.66 33  89   -40
2015   6  9   9.6  -2.8  -2.6   5.8  512.  2.82 37  89   -49
2015   6 10  10.9   0.2   0.8   5.8  513.  2.77 37  89   -46
2015   6 11  11.5   5.8   6.4   5.3  507.  2.42 37  89   -38
2015   6 12  10.3   7.1   7.5   5.0  500.  2.25 20  89   -35
2015   6 13   9.6   3.1   3.3   6.9  516.  3.26 20  89   -32
2015   6 14   9.4   1.4   1.5   7.0  507.  3.22 20  89   -29
2015   6 15   9.2   0.1   0.0   7.0  512.  3.35 30  89   -29
2015   6 16   8.7  -2.4  -2.9   9.6  496.  4.28 30  89   -32
2015   6 17  10.2   4.5   3.7   8.5  499.  3.90 30  89   -30
2015   6 18  11.5  11.3  11.5   4.5  484.  1.91 27  89   -32
2015   6 19  11.5  10.3  10.9   9.0  481.  3.77 27  89   -20
2015   6 20  10.0   9.5   9.1   9.0  486.  3.93 27  89   -22
2015   6 21  10.8  10.6  10.6   5.6  484.  2.33 10  89   -27
2015   6 22  10.8  10.8  10.4   3.5  467.  1.38 10  89   -26
2015   6 23   9.9   9.8   9.1   5.6  457.  2.10 10  89   -18
2015   7  0   9.5   8.8   7.7   6.9  454.  2.55 23 103   -14
2015   7  1   7.4   0.6  -1.3  13.3  446.  5.00 23 103    -5
2015   7  2   5.8   0.6  -0.7  16.9  438.  6.28 23 103     0
2015   7  3   7.4   4.3   3.0  12.5  440.  4.66 17 103    -2
2015   7  4   7.6   6.2   5.4  11.4  439.  4.20 17 103    -2
2015   7  5   7.7   6.2   5.6  11.5  437.  4.14 17 103    -6
2015   7  6  11.7  10.9  10.9  15.1  461.  6.05 60 103    -1
2015   7  7  15.1  -1.2  -1.3  29.4  475. 12.36 60 103     9
2015   7  8  17.7 -16.1 -16.1  25.1  472. 10.57 60 103   -29
2015   7  9  20.9 -17.1 -17.3  16.6  469.  6.98 63 103   -73
2015   7 10  21.6 -15.1 -15.6  19.2  475.  8.39 63 103  -106
